"EC reference","Entity name","Entity type","Regulated donee type","Rec'd by (AU)","Reported under 62:12","Is sponsorship","Donor name","Donor type","Company reg. no.","Postcode","Type of donation","Nature / Provision","Purpose","How dealt with","Value","Received date","Accepted date","Reported date","Reported pre or post poll","Entity ID","Accounting unit ID",
"C0104028","Liberal Democrats","Political Party","","Cambridge",,,"Mr Nigel Brown","Individual","","","Cash","","","","£3,000.00","01/04/2014","30/04/2014","30/07/2014",,"90","1848",
"C0104029","Liberal Democrats","Political Party","","Yeovil",,,"Mr Nina Campbell","Individual","","","Cash","","","","£2,500.00","01/04/2014","30/04/2014","30/07/2014",,"90","2414",
"C0104030","Liberal Democrats","Political Party","","Northampton",,,"Northants CC Lib Dem Council Group, The Guildhall","Unincorporated Association","","NN1 1DE","Cash","","","","£1,914.00","30/06/2014","30/06/2014","30/07/2014",,"90","2179",
"C0104031","Liberal Democrats","Political Party","","Cotswold",,,"Mr Paul Hodgkinson","Individual","","","Cash","","","","£4,000.00","25/03/2014","24/04/2014","30/07/2014",,"90","1900",
"C0104032","Liberal Democrats","Political Party","","Cheltenham",,,"Mr Peter Grainger","Individual","","","Cash","","","","£1,840.00","30/06/2014","30/06/2014","30/07/2014",,"90","1873",
"C0104033","Liberal Democrats","Political Party","","",,,"Project Kudos Ltd, Malvern House","Company",":07022075","B91 3DL","Cash","","","","£27,400.00","30/06/2014","30/06/2014","30/07/2014",,"90","",
"C0104034","Liberal Democrats","Political Party","","Yorkshire & Humber Region",,,"Ms Rebecca Taylor","Individual","","","Cash","","","","£2,250.00","30/06/2014","30/06/2014","30/07/2014",,"90","2418",
"C0104035","Liberal Democrats","Political Party","","Redcar",,,"Redcar & Cleveland Lib Dem Council Group, Redcar& Cleveland House","Unincorporated Association","","TS10 1RT","Cash","","","","£2,400.00","30/06/2014","30/06/2014","30/07/2014",,"90","2212",
"C0104036","Liberal Democrats","Political Party","","",,,"Mr Richard Reed","Individual","","","Cash","","","","£25,000.00","06/06/2014","30/06/2014","30/07/2014",,"90","",
"C0104037","Liberal Democrats","Political Party","","",,,"Mr Richard Steer","Individual","","","Cash","","","","£25,000.00","01/04/2014","30/04/2014","30/07/2014",,"90","",
"C0104038","Liberal Democrats","Political Party","","Cambridge",,,"Mr Robert Wardrop","Individual","","","Cash","","","","£3,000.00","28/06/2014","30/06/2014","30/07/2014",,"90","1848",
"C0104039","Liberal Democrats","Political Party","","Walthamstow",,,"Mr Robert Wheatley","Individual","","","Cash","","","","£2,785.00","30/06/2014","30/06/2014","30/07/2014",,"90","2357",
"C0104040","Liberal Democrats","Political Party","","",,,"Mr Robin Alvarez","Individual","","","Cash","","","","£32,400.00","30/06/2014","30/06/2014","30/07/2014",,"90","",
"C0104041","Liberal Democrats","Political Party","","Hazel Grove",,,"Romilley Liberal Club & Hall, 1 Beech Lane","Unincorporated Association","","SK6 4AL","Cash","","","","£3,000.00","30/06/2014","30/06/2014","30/07/2014",,"90","2022",
"C0104042","Liberal Democrats","Political Party","","",,,"Mr Ronald Lubner","Individual","","","Cash","","","","£10,000.00","01/04/2014","30/04/2014","30/07/2014",,"90","",
"C0104043","Liberal Democrats","Political Party","","Cambridgeshire County Co-Ordinating Committee",,,"South Cambs Lib Dem Council Group, South Cambridgeshire Hall","Unincorporated Association","","CB23 6EA","Cash","","","","£2,311.44","30/06/2014","30/06/2014","30/07/2014",,"90","1849",
"C0104044","Liberal Democrats","Political Party","","St Austell & Newquay",,,"Mr Stephen Gilbert","Individual","","","Cash","","","","£1,800.00","30/06/2014","30/06/2014","30/07/2014",,"90","2293",
"C0104045","Liberal Democrats","Political Party","","",,,"Stobo Castle Health Spa Ltd, Stobo Castle","Company",":SC100188","EH45 8NY","Cash","","","","£12,000.00","30/06/2014","30/06/2014","30/07/2014",,"90","",
"C0104046","Liberal Democrats","Political Party","","Norwich South",,,"Mr Stuart Beadle","Individual","","","Cash","","","","£2,000.00","30/06/2014","30/06/2014","30/07/2014",,"90","2186",
"C0104047","Liberal Democrats","Political Party","","Bermondsey & Old Southwark",,,"Sunstar Group Ltd, c/o C/O DANMIRR CONSULTANTS?","Company",":02506998","SP10 3AJ","Cash","","","","£2,100.00","25/04/2014","24/05/2014","30/07/2014",,"90","1787",
"C0104048","Liberal Democrats","Political Party","","Bermondsey & Old Southwark",,,"The Hume House & ED Bonner Co Ltd, 8 GILKES CRESCENT","Company",":2235257","SE21 7BS","Cash","","","","£2,000.00","28/03/2014","27/04/2014","30/07/2014",,"90","1787",
"C0104049","Liberal Democrats","Political Party","","Ashfield & Mansfield",,,"Mr Thomas Hollis","Individual","","","Cash","","","","£3,900.00","30/06/2014","30/06/2014","30/07/2014",,"90","1763",
"C0104050","Liberal Democrats","Political Party","","Yeovil",,,"Toolstream Ltd, BOUNDARY WAY?","Company",":04281144","BA22 8HZ","Cash","","","","£5,000.00","07/05/2014","06/06/2014","30/07/2014",,"90","2414",
"C0104051","Liberal Democrats","Political Party","","Borough of Brent",,,"Ms Virginia Brand","Individual","","","Cash","","","","£1,850.00","30/06/2014","30/06/2014","30/07/2014",,"90","1813",
"C0104052","Liberal Democrats","Political Party","","West Midlands Region",,,"Mr William Barritt","Individual","","","Cash","","","","£1,600.00","30/06/2014","30/06/2014","30/07/2014",,"90","2378",
"C0104053","Liberal Democrats","Political Party","","Chippenham",,,"Wiltshire CC Lib Dem Council Group, County Hall","Unincorporated Association","","BA14 8JN","Cash","","","","£2,400.00","30/06/2014","30/06/2014","30/07/2014",,"90","1879",
"C0104054","Liberal Democrats","Political Party","","North East Region",,,"Mr Owen Temple","Individual","","","Cash","","","","£2,000.00","30/06/2014","30/06/2014","30/07/2014",,"90","2151",
"C0104055","Liberal Democrats","Political Party","","North East Region",,,"Mr David Faulkner","Individual","","","Cash","","","","£5,000.00","29/04/2014","28/05/2014","30/07/2014",,"90","2151",
"C0104056","Liberal Democrats","Political Party","","Eastleigh",,,"Ms Anne Winstanley","Individual","","","Cash","","","","£1,220.00","30/06/2014","30/06/2014","30/07/2014",,"90","1947",
"C0104057","Liberal Democrats","Political Party","","Cambridge",,,"Mr Edward Powell","Individual","","","Cash","","","","£5,000.00","30/06/2014","30/06/2014","30/07/2014",,"90","1848",
"C0104058","Liberal Democrats","Political Party","","Wokingham",,,"Mr Clive Jones","Individual","","","Cash","","","","£1,730.00","30/06/2014","30/06/2014","30/07/2014",,"90","2396",
"C0104059","Liberal Democrats","Political Party","","Parliamentary Party In The Lords",,,"Baroness na Sharp","Individual","","","Cash","","","","£2,400.00","30/06/2014","30/06/2014","30/07/2014",,"90","4578",
"C0104060","Liberal Democrats","Political Party","","Welsh State Party",,,"Mr Alexander Dauncey","Individual","","","Cash","","","","£2,000.00","23/04/2014","22/05/2014","30/07/2014",,"90","2354",
"C0104061","Liberal Democrats","Political Party","","Cheltenham",,,"Mr Colin Hay","Individual","","","Cash","","","","£1,970.76","30/06/2014","30/06/2014","30/07/2014",,"90","1873",
"C0104062","Liberal Democrats","Political Party","","Cotswold",,,"Mr Darren McLauchlan","Individual","","","Cash","","","","£10,000.00","14/05/2014","13/06/2014","30/07/2014",,"90","1900",
"C0104063","Liberal Democrats","Political Party","","Yeovil",,,"Ms Deborah Berger","Individual","","","Cash","","","","£15,000.00","12/05/2014","11/06/2014","30/07/2014",,"90","2414",
"C0104064","Liberal Democrats","Political Party","","Western Counties Region",,,"Calypso Transport Limited, Suite 5, 1st Floor","Company",":100519","ZZ0 0ZZ","Cash","","","","£5,000.00","17/04/2014","16/05/2014","30/07/2014",,"90","2384",
"C0104065","Liberal Democrats","Political Party","","Redcar",,,"First Choice Labels Limited, UNIT 4","Company",":5233296","TS10 5SQ","Cash","","","","£2,500.00","15/04/2014","14/05/2014","30/07/2014",,"90","2212",
"C0104066","Liberal Democrats","Political Party","","Yeovil",,,"Mr Dennis Rooke","Individual","","","Cash","","","","£5,000.00","07/05/2014","06/06/2014","30/07/2014",,"90","2414",
"C0104067","Liberal Democrats","Political Party","","Yorkshire & Humber Region",,,"Mr Edward McMillan-Scott","Individual","","","Cash","","","","£2,083.30","30/06/2014","30/06/2014","30/07/2014",,"90","2418",
"C0104070","Liberal Democrats","Political Party","","Oxford West & Abingdon",,,"Mr Hugo Brunner","Individual","","","Cash","","","","£1,600.00","30/06/2014","30/06/2014","30/07/2014",,"90","2193",
"C0104071","Liberal Democrats","Political Party","","Perth & Kinross",,,"Mr Ian Elder","Individual","","","Cash","","","","£3,000.00","08/05/2014","07/06/2014","30/07/2014",,"90","2199",
"C0104073","Liberal Democrats","Political Party","","Yeovil",,,"Ms Jennie Goddard-Watts","Individual","","","Cash","","","","£3,750.00","25/04/2014","23/05/2014","30/07/2014",,"90","2414",
"C0104074","Liberal Democrats","Political Party","","Norwich South",,,"Mr Ian Couzens","Individual","","","Cash","","","","£1,000.00","11/05/2014","10/06/2014","30/07/2014",,"90","2186",
"NC0104075","Liberal Democrats","Political Party","","Mid Dorset & North Poole",,,"Broadstone & District Lib Dem Hall Assoc, 14 York Road","Unincorporated Association","","BH18 8ET","Non Cash","Premises","","","£731.59","30/06/2014","30/06/2014","30/07/2014",,"90","2116",
"NC0104076","Liberal Democrats","Political Party","","Southport",,,"Gladstone Liberal Club, 35 Shakespeare Street","Unincorporated Association","","PR8 5EB","Non Cash","Premises","","","£2,175.00","30/06/2014","30/06/2014","30/07/2014",,"90","2290",
"NC0104077","Liberal Democrats","Political Party","","",,,"Ministry of Sound Ltd, 103 Gaunt Street","Company",":2736122","SE1 6DP","Non Cash","Consultancy services","","","£10,260.00","30/06/2014","30/06/2014","30/07/2014",,"90","",
"NC0104078","Liberal Democrats","Political Party","","",,,"Ministry of Sound Ltd, 103 Gaunt Street","Company",":2736122","SE1 6DP","Non Cash","Consultancy services","","","£5,397.00","30/06/2014","30/06/2014","30/07/2014",,"90","",
"NC0104079","Liberal Democrats","Political Party","","",,,"PricewaterhouseCoopers LLP, 1 Embankment Place","Limited Liability Partnership",":OC303525","WC2N 6RH","Non Cash","Staff costs","","","£48,069.00","30/06/2014","30/06/2014","30/07/2014",,"90","",
"NC0104080","Liberal Democrats","Political Party","","Scottish State Party",,,"Scottish Liberal Club, 4, Clifton Terrace","Unincorporated Association","","EH12 5DR","Non Cash","Premises","","","£4,887.00","30/03/2014","30/06/2014","30/07/2014",,"90","2237",
"NC0104081","Liberal Democrats","Political Party","","Scottish State Party",,,"Scottish Liberal Club, 4, Clifton Terrace","Unincorporated Association","","EH12 5DR","Non Cash","Premises","","","£4,887.00","30/06/2014","30/06/2014","30/07/2014",,"90","2237",
"NC0104082","Liberal Democrats","Political Party","","Twickenham & Richmond",,,"Lord na Oakeshott","Individual","","","Non Cash","Other","","","£6,000.00","28/05/2014","27/06/2014","30/07/2014",,"90","2346",
"NC0104083","Liberal Democrats","Political Party","","East Dunbartonshire",,,"Brompton Capital Limited, 35 South Street","Company",":3275808","W1K 2XE","Non Cash","Other","","","£3,350.00","10/06/2014","30/06/2014","30/07/2014",,"90","1936",
"NC0104084","Liberal Democrats","Political Party","","Hereford & South Herefordshire",,,"Hereford & County Liberal Club Co Ltd, Brewery House","Company",":31799","HR4 7BA","Non Cash","Premises","","","£2,200.00","30/06/2014","30/06/2014","30/07/2014",,"90","2026",
"NC0104085","Liberal Democrats","Political Party","","Westmorland & Lonsdale",,,"Kendal and Sth Westmorland Liberal Club, Yard 2","Unincorporated Association","","LA9 4ND","Non Cash","Premises","","","£1,965.00","30/06/2014","30/06/2014","30/07/2014",,"90","2386",
"NC0104086","Liberal Democrats","Political Party","","Central Devon",,,"Crediton & District Lib Dem Co Limited, 31 High Street","Company",":98206","EX17 3AJ","Non Cash","Premises","","","£1,600.00","30/06/2014","30/06/2014","30/07/2014",,"90","1864",
"NC0104087","Liberal Democrats","Political Party","","St Austell & Newquay",,,"Miss Joanna Kenny","Individual","","","Non Cash","Premises","","","£1,650.00","30/06/2014","30/06/2014","30/07/2014",,"90","2293",
"NC0104088","Liberal Democrats","Political Party","","Ceredigion",,,"Aberystwyth Liberal Club, 32 North Parade","Unincorporated Association","","SY23 4NF","Non Cash","Premises","","","£1,675.00","30/06/2014","30/06/2014","30/07/2014",,"90","1867",
"NC0104089","Liberal Democrats","Political Party","","Argyll & Bute",,,"Mr Alan Reid","Individual","","","Non Cash","Staff costs","","","£2,209.50","30/06/2014","30/06/2014","30/07/2014",,"90","1761",
"NC0104090","Liberal Democrats","Political Party","","Argyll & Bute",,,"Mr Alan Reid","Individual","","","Non Cash","Premises","","","£589.98","30/06/2014","30/06/2014","30/07/2014",,"90","1761",
"NC0104091","Liberal Democrats","Political Party","","",,,"KPMG, 15 Canada Square","Company",":OC301540","E14 5GL","Non Cash","Staff costs","","","£8,560.00","30/06/2014","30/06/2014","30/07/2014",,"90","",
"PF0104092","Liberal Democrats","Political Party","","Scottish Parliamentary Party",,,"Scottish Parliament","Public Fund","","EH99 1SP","Public Funds","Assistance for Parties (Scottish Parliament)","","","£9,664.80","30/06/2014","30/06/2014","30/07/2014",,"90","4584",
"PF0104093","Liberal Democrats","Political Party","","",,,"Electoral Commission","Public Fund","","EC1Y 8YZ","Public Funds","Policy Development Grant","","","£142,857.00","28/04/2014","27/05/2014","30/07/2014",,"90","",
"PF0104094","Liberal Democrats","Political Party","","",,,"Electoral Commission","Public Fund","","EC1Y 8YZ","Public Funds","Policy Development Grant","","","£113,768.50","16/06/2014","30/06/2014","30/07/2014",,"90","",
"PF0104095","Liberal Democrats","Political Party","","",,,"Electoral Commission","Public Fund","","EC1Y 8YZ","Public Funds","Policy Development Grant","","","£196,390.44","20/06/2014","30/06/2014","30/07/2014",,"90","",
"V0104096","Mr Rhun ap Iorwerth","Regulated Donee","AM - Member of the National Assembly for Wales","",,,"Horizon (Hitachi), Horizon Nuclear Power","Other","","GL3 4FE","Visit","","To see the construction of new nuclear power stations","","£2,480.15",,"21/06/2014","17/07/2014",,"2451","",
"V0104097","Mr Alun Craig Williams","Regulated Donee","Candidate","",,,"Conservative Friends of Israel, C/O Shelly Stock Hunter LLP","Other","","W1G 9DG","Visit","","Part of a political delegation","","£1,600.00",,"24/06/2014","14/07/2014",,"2452","",
"C0104105","Conservative Party","Political Party","","Wirral West",,,"Flowidea Ltd, Arbuthnot House","Company",":2463564","EC2Y 9AR","Cash","","","","£10,000.00","06/02/2014","11/02/2014","30/04/2014",,"52","1722",
"NC0104106","Ms Tessa Munt","Regulated Donee","MP - Member of Parliament","",,,"Ms Jayne Doutch","Individual","","","Non Cash","Other","","","£3,000.00","01/04/2013","25/06/2014","28/07/2014",,"2459","",
"V0104107","Mr Albert Owen","Regulated Donee","MP - Member of Parliament","",,,"Horizon Nuclear Power Ltd, 5210 Valiant Court","Other","","GL3 4FE","Visit","","To visit industrial locations relating to proposed investment in my 
constituency.","","£2,453.15",,"21/06/2014","24/07/2014",,"2460","",
"C0104108","Ms Michelle Donelan","Regulated Donee","Candidate","",,,"Berkeley Burke Holdings Ltd, Berkeley Burke House","Company",":1102932","LE1 7BR","Cash","","","","£10,000.00","16/07/2014","16/07/2014","07/08/2014",,"2157","",
"C0104109","Liberal Democrats","Political Party","","Ashfield & Mansfield",,,"Mr Jason Zadrozny","Individual","","","Cash","","","","£3,900.00","30/06/2014","30/06/2014","30/07/2014",,"90","1763",
"C0104110","Liberal Democrats","Political Party","","City of Bristol",,,"Mr Andy Street","Individual","","","Cash","","","","£3,000.00","01/04/2014","30/04/2014","30/07/2014",,"90","4784",
"C0104111","Liberal Democrats","Political Party","","Scottish State Party",,,"Mr George Lyon","Individual","","","Cash","","","","£14,500.00","22/04/2014","21/05/2014","30/07/2014",,"90","2237",
"C0104112","Liberal Democrats","Political Party","","Scottish State Party",,,"Mr George Lyon","Individual","","","Cash","","","","£15,300.00","30/06/2014","30/06/2014","30/07/2014",,"90","2237",
"C0104113","Labour Party","Political Party","","",,,"Fujitsu Services Limited, 22 Baker Street","Company",":00096056","W1U 3BW","Cash","","","","£14,000.00","27/05/2014","27/05/2014","30/07/2014",,"53","",
"C0104114","Labour Party","Political Party","","Cardiff West CLP","62:12",,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£1,000.00","02/05/2014","02/05/2014","30/07/2014",,"53","140",
"C0104115","Labour Party","Political Party","","Jarrow CLP","62:12",,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£1,000.00","07/05/2014","07/05/2014","30/07/2014",,"53","395",
"C0104116","Labour Party","Political Party","","Leyton and Wanstead CLP","62:12",,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£1,000.00","01/05/2014","01/05/2014","30/07/2014",,"53","433",
"C0104117","Labour Party","Political Party","","Liverpool Walton CLP",,,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£2,000.00","09/05/2014","09/05/2014","30/07/2014",,"53","440",
"C0104118","Labour Party","Political Party","","Liverpool Wavertree CLP",,,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£2,000.00","06/05/2014","06/05/2014","30/07/2014",,"53","441",
"C0104119","Labour Party","Political Party","","National Trade Union Liaison","62:12",,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£1,275.00","23/04/2014","23/04/2014","30/07/2014",,"53","497",
"C0104120","Labour Party","Political Party","","North East Derbyshire CLP",,,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£2,000.00","02/05/2014","02/05/2014","30/07/2014",,"53","523",
"C0104121","Labour Party","Political Party","","Ogmore CLP","62:12",,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£1,000.00","06/05/2014","06/05/2014","30/07/2014",,"53","560",
"C0104122","Labour Party","Political Party","","Stoke-On-Trent North CLP","62:12",,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£1,000.00","04/05/2014","04/05/2014","30/07/2014",,"53","705",
"C0104123","Labour Party","Political Party","","",,,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£37,100.00","28/04/2014","28/04/2014","30/07/2014",,"53","",
"C0104124","Labour Party","Political Party","","Aberavon CLP","62:12",,"Union of Construction, Allied Trades and Technicians , 177 Abbeville Road","Trade Union","","SW4 9RL","Cash","","","","£1,000.00","10/05/2014","10/05/2014","30/07/2014",,"53","1",
"C0104209","Conservative Party","Political Party","","Carmarthen West & Sth Pembrokeshire",,,"Mr David Lowes","Individual","","","Cash","","","","£5,000.00","09/06/2014","19/06/2014","30/07/2014",,"52","1039",
"V0104221","The Rt Hon Tessa Jowell MP","Regulated Donee","MP - Member of Parliament","",,,"British Airways, Community Investment","Other","","UB7 0GB","Visit","","To participate in a conference as part of my work for Magic Bus, and to volunteer on a Magic Bus project.","","£2,120.00",,"09/02/2014","07/07/2014",,"1668","",
"V0104222","The Rt Hon Tessa Jowell MP","Regulated Donee","MP - Member of Parliament","",,,"Wave Trust, Cameron House","Other","","CR0 1ED","Visit","","To present petition on importance of early childhood development to adviser to Secretary General of the UN.","","£5,251.25",,"15/06/2014","07/07/2014",,"1668","",
"C0104223","Mr William Goodhand","Regulated Donee","Candidate","",,,"Sir John Anthony Hall","Individual","","","Cash","","","","£2,000.00","25/06/2014","05/07/2014","05/07/2014",,"2365","",
"C0104404","The Campaign for British Influence in Europe Limited","Third Party","","",,,"Betterworld Limited, 14 St Mary's St","Company",":03408967","PE9 2DF","Cash","","","","£12,500.00","17/03/2014","24/03/2014","21/08/2014","Post","2307","",
"C0104405","The Campaign for British Influence in Europe Limited","Third Party","","",,,"Lord David Sainsbury","Individual","","","Cash","","","","£25,000.00","10/02/2014","07/03/2014","21/08/2014","Post","2307","",
"C0104406","The Campaign for British Influence in Europe Limited","Third Party","","",,,"Lord David Sainsbury","Individual","","","Cash","","","","£20,000.00","04/04/2014","11/04/2014","21/08/2014","Post","2307","",
"C0104407","The Campaign for British Influence in Europe Limited","Third Party","","",,,"Lord David Sainsbury","Individual","","","Cash","","","","£24,000.00","10/04/2014","17/04/2014","21/08/2014","Post","2307","",
"C0104408","The Campaign for British Influence in Europe Limited","Third Party","","",,,"Lord David Sainsbury","Individual","","","Cash","","","","£33,900.00","29/04/2014","06/05/2014","21/08/2014","Post","2307","",
"C0104812","Yes Scotland Limited","Permitted Participant","","","62:12",,"Mrs Elizabeth Topping","Individual","","","Cash","","","","£50,000.00","28/07/2014","28/07/2014","28/08/2014","Pre","2209","",
"C0104813","Yes Scotland Limited","Permitted Participant","","","62:12",,"Mr Randall Foggie","Individual","","","Cash","","","","£75,000.00","01/08/2014","01/08/2014","28/08/2014","Pre","2209","",
"C0104814","Yes Scotland Limited","Permitted Participant","","","62:12",,"The Proclaimers Live Limited, 320 (3F3) Leith Walk","Company",":SC331541","EH6 5BU","Cash","","","","£10,000.00","05/08/2014","05/08/2014","28/08/2014","Pre","2209","",
"C0104815","Yes Scotland Limited","Permitted Participant","","","62:12",,"Mr Mohammed Ramzan","Individual","","","Cash","","","","£33,000.00","21/08/2014","21/08/2014","28/08/2014","Pre","2209","",
"C0105051","Ms Diane Abbott MP","Regulated Donee","MP - Member of Parliament","",,,"BM Creative Management Ltd, 4th Floor","Company",":05635995","WC2B 4HN","Cash","","","","£10,000.00","09/07/2014","09/07/2014","01/08/2014",,"1648","",
"NC0105053","Mr Nigel Adams MP","Regulated Donee","MP - Member of Parliament","",,,"Calverts Carpets Ltd, 29-33 Westgate","Company",":03861858","YO7 1QR","Non Cash","Auction prizes","","","£13,000.00","27/06/2014","30/07/2014","31/07/2014",,"1627","",
"V0105064","The Rt Hon James Arbuthnot MP","Regulated Donee","MP - Member of Parliament","",,,"The Taipei Representative Office in the UK (TRO), 50 Grosvenor Gardens","Other","","SW1W 0EB","Visit","","As part of the British-Taiwanese APPG, to promote the understanding of Taiwan and strengthen UK-Taiwan relations.","","£3,300.00",,"26/07/2014","05/08/2014",,"1286","",
"V0105100","The Rt Hon Edward Balls MP","Regulated Donee","MP - Member of Parliament","",,,"Center for American Progress, 1333 H Street, NW, 10th Floor","Other","","DC 20005","Visit","","Co-chair Inclusive Prosperity Commission and meetings with administration and other officials.","","£4,069.00",,"07/07/2014","05/08/2014",,"1623","",
"V0105102","Ms Tracey Crouch","Regulated Donee","MP - Member of Parliament","",,,"The Taipei Representative Office in the UK (TRO), 50 Grosvenor Gardens","Other","","SW1W 0EB","Visit","","As part of the British-Taiwanese APPG, to promote the understanding of Taiwan and strengthen UK-Taiwan relations.","","£3,300.00",,"26/07/2014","05/08/2014",,"2455","",
"V0105113","Mr Ian Davidson MP","Regulated Donee","MP - Member of Parliament","",,,"The Taipei Representative Office in the UK (TRO), 50 Grosvenor Gardens","Other","","SW1W 0EB","Visit","","As part of the British-Taiwanese APPG, to promote the understanding of Taiwan and strengthen UK-Taiwan relations.","","£3,300.00",,"26/07/2014","07/08/2014",,"1148","",
"V0105114","Mr Brian Donohoe MP","Regulated Donee","MP - Member of Parliament","",,,"Taiwan Representative Office, 50 Grosvenor Gardens","Other","","SW1W 0EB","Visit","","As part of the British-Taiwanese APPG, to promote the understanding of Taiwan and strengthen UK-Taiwan relations.","","£3,300.00",,"26/07/2014","05/08/2014",,"1376","",
"V0105120","Mr Tobias Ellwood MP","Regulated Donee","MP - Member of Parliament","",,,"Hart Integrated Solutions, 118 Piccadilly","Company",":0","W1J 7NW","Visit","","fact-finding visit with the Kurdistan Region APPG, to meet senior security and political leaders, as well as a camp for refugees.","","£2,250.00",,"22/06/2014","07/08/2014",,"1368","",
"C0105124","Mr Robert Flello MP","Regulated Donee","MP - Member of Parliament","",,,"Dr Prasad Rao","Individual","","","Cash","","","","£2,000.00","16/07/2014","16/07/2014","14/08/2014",,"1900","",
"C0105128","The Rt Hon Dr Liam Fox MP","Regulated Donee","MP - Member of Parliament","",,,"Ibrow Limited, College House","Company",":6244250","WV16 4EJ","Cash","","","","£10,000.00","05/08/2014","08/08/2014","22/08/2014",,"1035","",
"V0105131","Mr David Hamilton MP","Regulated Donee","MP - Member of Parliament","",,,"The Taipei Representative Office in the UK (TRO), 50 Grosvenor Gardens","Other","","SW1W 0EB","Visit","","As part of the British-Taiwanese APPG, to promote the understanding of Taiwan and strengthen UK-Taiwan relations.","","£3,300.00",,"26/07/2014","06/08/2014",,"1097","",
"C0105133","The Rt Hon John Healey MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Mal Ogg","Individual","","","Cash","","","","£5,000.00","18/08/2014","18/08/2014","20/08/2014",,"1796","",
"V0105137","Mr Jimmy Hood MP","Regulated Donee","MP - Member of Parliament","",,,"The Taipei Representative Office in the UK (TRO), 50 Grosvenor Gardens","Other","","SW1W 0EB","Visit","","As part of the British-Taiwanese APPG, to promote the understanding of Taiwan and strengthen UK-Taiwan relations.","","£3,300.00",,"26/07/2014","11/08/2014",,"1081","",
"C0105140","Mr Martin Horwood MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Paul Baker","Individual","","","Cash","","","","£2,400.00","01/08/2014","01/08/2014","01/08/2014",,"2471","",
"C0105145","Mr Brandon Lewis MP","Regulated Donee","MP - Member of Parliament","",,,"JCB Research Ltd, Lakeside Works","Company",":00682651","ST14 5JP","Cash","","","","£10,000.00","29/07/2014","30/07/2014","22/08/2014",,"2094","",
"C0105147","Dr Caroline Lucas MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Martin DA Stanley","Individual","","","Cash","","","","£2,000.00","10/06/2014","10/06/2014","05/08/2014",,"1864","",
"C0105149","Dr Caroline Lucas MP","Regulated Donee","MP - Member of Parliament","",,,"Mr Rupert Read","Individual","","","Cash","","","","£4,000.00","15/07/2014","15/07/2014","05/08/2014",,"1864","",
"C0105152","Dr Caroline Lucas MP","Regulated Donee","MP - Member of Parliament","",,,"Mr John Pemberton","Individual","","","Cash","","","","£20,000.00","21/07/2014","21/07/2014","05/08/2014",,"1864","",
"V0105157","Ms Kerry McCarthy MP","Regulated Donee","MP - Member of Parliament","",,,"The Taipei Representative Office in the UK (TRO), 50 Grosvenor Gardens","Other","","SW1W 0EB","Visit","","As part of the British-Taiwanese APPG, to promote the understanding of Taiwan and strengthen UK-Taiwan relations.","","£3,300.00",,"26/07/2014","11/08/2014",,"1379","",
"C0105158","Ms Anne Marie Morris MP","Regulated Donee","MP - Member of Parliament","",,,"Centrax Industries Ltd, Shaldon Road","Company",":03955434","TQ12 4SQ","Cash","","","","£1,350.00","15/05/2014","15/07/2014","26/08/2014",,"1841","",
"C0105159","Ms Anne Marie Morris MP","Regulated Donee","MP - Member of Parliament","",,,"Centrax Industries Ltd, Shaldon Road","Company",":03955434","TQ12 4SQ","Cash","","","","£1,350.00","15/07/2014","15/07/2014","26/08/2014",,"1841","",
"C0105160","Mr Chuka Umunna MP","Regulated Donee","MP - Member of Parliament","",,,"Lord Gulam Noon","Individual","","","Cash","","","","£5,000.00","04/07/2014","04/07/2014","29/07/2014",,"1844","",
"C0105161","Mr Chuka Umunna MP","Regulated Donee","MP - Member of Parliament","",,,"na Shamique Ismail","Individual","","","Cash","","","","£2,000.00","06/07/2014","06/07/2014","29/07/2014",,"1844","",
"C0105162","Mr Chuka Umunna MP","Regulated Donee","MP - Member of Parliament","",,,"DCD Properties Ltd, 90 Long Acre","Company",":03092306","WC2E 9RA","Cash","","","","£5,000.00","08/07/2014","08/07/2014","29/07/2014",,"1844","",
