mpid	firstname	surname	party
40327	Graham	Jones	Lab
40633	Helen	Jones	Lab
40434	Kevan	Jones	Lab
40463	Marcus	Jones	Con
40177	Susan Elan	Jones	Lab
40212	Tessa	Jowell	Lab
40255	Eric	Joyce	Lab
40700	Mike	Kane	Lab
40387	Gerald	Kaufman	Lab
40532	Daniel	Kawczynski	Con
40673	Barbara	Keeley	Lab
40258	Alan	Keen	Lab
40211	Chris	Kelly	Con
40360	Liz	Kendall	Lab
40506	Charles	Kennedy	LDem
40610	Sadiq	Khan	Lab
40120	Simon	Kirby	Con
40234	Greg	Knight	Con
40567	Kwasi	Kwarteng	Con
40249	Eleanor	Laing	Con
40443	Norman	Lamb	LDem
40615	David	Lammy	Lab
40403	Mark	Lancaster	Con
40541	Andrew	Lansley	Con
40394	Pauline	Latham	Con
40630	Ian	Lavery	Lab
40680	David	Laws	LDem
40239	Mark	Lazarowicz	Lab
40550	Andrea	Leadsom	Con
40251	Jessica	Lee	Con
40107	Phillip	Lee	Con
40388	John	Leech	LDem
40573	Jeremy	Lefroy	Con
40266	Edward	Leigh	Con
40123	Charlotte	Leslie	Con
40460	Christopher	Leslie	Lab
40648	Oliver	Letwin	Con
40699	Emma	Lewell-Buck	Lab
40286	Brandon	Lewis	Con
40135	Ivan	Lewis	Lab
40415	Julian	Lewis	Con
40118	Ian	Liddell-Grainger	Con
40051	David	Lidington	Con
40318	Peter	Lilley	Con
40235	Stephen	Lloyd	LDem
40386	Tony	Lloyd	Lab
40218	Elfyn	Llwyd	PC
40068	Naomi	Long	Alliance
40260	Jack	Lopresti	Con
40666	Jonathan	Lord	Con
40233	Tim	Loughton	Con
40243	Andrew	Love	Lab
40121	Caroline	Lucas	Green
40675	Ian	Lucas	Lab
40399	Peter	Luff	Con
40495	Karen	Lumley	Con
40115	Mary	Macleod	Con
40413	Angus	MacNeil	SNP
40509	Denis	MacShane	Lab
40536	Fiona	Mactaggart	Lab
40086	Khalid	Mahmood	Lab
40084	Shabana	Mahmood	Lab
40568	Anne	Main	Con
40689	Seema	Malhotra	Lab
40061	John	Mann	Lab
40093	Gordon	Marsden	Lab
40322	Francis	Maude	Con
40382	Theresa	May	Con
40092	Paul	Maynard	Con
40087	Stephen	McCabe	Lab
40228	Michael	McCann	Lab
40122	Kerry	McCarthy	Lab
40181	Jason	McCartney	Con
40368	Karl	McCartney	Con
40193	Gregg	McClymont	Lab
40539	William	McCrea	DUP
40405	Siobhain	McDonagh	Lab
40695	Andrew	McDonald	Lab
40070	Alasdair	McDonnell	SDLP
40306	John	McDonnell	Lab
40669	Pat	McFadden	Lab
40662	Alison	McGovern	Lab
40216	Jim	McGovern	Lab
40577	Anne	McGuire	Lab
40605	Anne	McIntosh	Con
40273	Ann	McKechin	Lab
40688	Iain	McKenzie	Lab
40421	Catherine	McKinnell	Lab
40203	Patrick	McLoughlin	Con
40576	Stephen	McPartland	Con
40663	Esther	McVey	Con
40468	Michael	Meacher	Lab
40389	Alan	Meale	Lab
40268	Ian	Mearns	Lab
40184	Louise	Mensch	Con
40265	Mark	Menzies	Con
40417	Patrick	Mercer	Con
40540	Stephen	Metcalfe	Con
40147	Alun	Michael	Lab
40552	David	Miliband	Lab
40208	Edward	Miliband	Lab
40244	Andrew	Miller	Lab
40060	Maria	Miller	Con
40043	Nigel	Mills	Con
40288	Anne	Milton	Con
40595	Andrew	Mitchell	Con
40285	Austin	Mitchell	Lab
40117	Madeleine	Moon	Lab
40074	Michael	Moore	LDem
40485	Penny	Mordaunt	Con
40423	Jessica	Morden	Lab
40376	Nicky	Morgan	Con
40374	Graeme	Morrice	Lab
40426	Anne-Marie	Morris	Con
40410	David	Morris	Con
40222	Grahame	Morris	Lab
40291	James	Morris	Con
40173	Stephen	Mosley	Con
40634	David	Mowat	Con
40354	George	Mudie	Lab
40356	Greg	Mulholland	LDem
40214	David	Mundell	Con
40529	Meg	Munn	Lab
40642	Tessa	Munt	LDem
40231	Jim	Murphy	Lab
40612	Paul	Murphy	Lab
40240	Ian	Murray	Lab
40546	Sheryll	Murray	Con
40562	Andrew	Murrison	Con
40658	Lisa	Nandy	Lab
40038	Pamela	Nash	Lab
40127	Bob	Neill	Con
40111	Brooks	Newmark	Con
40616	Sarah	Newton	Con
40505	Caroline	Nokes	Con
40312	Jesse	Norman	Con
40134	David	Nuttall	Con
40237	Stephen	O&#39;Brien	Con
40230	Fiona	O&#39;Donnell	Lab
40310	Matthew	Offord	Con
40352	Eric	Ollerenshaw	Con
40419	Chi	Onwurah	Lab
40315	Guy	Opperman	Con
40599	George	Osborne	Con
40052	Sandra	Osborne	Lab
40192	Richard	Ottaway	Con
40681	Albert	Owen	Lab
40545	James	Paice	Con
40428	Ian	Paisley Jnr	DUP
40608	Neil	Parish	Con
40664	Priti	Patel	Con
40444	Owen	Paterson	Con
40510	Mark	Pawsey	Con
40252	Teresa	Pearce	Lab
40308	Michael	Penning	Con
40657	John	Penrose	Con
40119	Andrew	Percy	Con
40165	Toby	Perkins	Lab
40204	Claire	Perry	Con
40535	Stephen	Phillips	Con
40323	Bridget	Phillipson	Lab
40116	Eric	Pickles	Con
40598	Christopher	Pincher	Con
40156	Daniel	Poulter	Con
40220	Stephen	Pound	Lab
40691	Lucy	Powell	Lab
40124	Dawn	Primarolo	Lab
40313	Mark	Prisk	Con
40604	Mark	Pritchard	Con
40566	John	Pugh	LDem
40100	Yasmin	Qureshi	Lab
40253	Dominic	Raab	Con
40621	John	Randall	Con
40287	Nick	Raynsford	Lab
40502	Mark	Reckless	Con
40667	John	Redwood	Con
40183	Jamie	Reed	Lab
40696	Steve	Reed	Lab
40441	Jacob	Rees-Mogg	Con
40205	Simon	Reevell	Con
40357	Rachel	Reeves	Lab
40046	Alan	Reid	LDem
40668	Emma	Reynolds	Lab
40575	Jonathan	Reynolds	Lab
40340	Malcolm	Rifkind	Con
40292	Linda	Riordan	Lab
40544	Margaret	Ritchie	SDLP
40548	Andrew	Robathan	Con
40409	Angus	Robertson	SNP
40257	Hugh	Robertson	Con
40275	John	Robertson	Lab
40602	Laurence	Robertson	Con
40186	Geoffrey	Robinson	Lab
40430	Dan	Rogerson	LDem
40504	Andrew	Rosindell	Con
40371	Steve	Rotheram	Lab
40412	Frank	Roy	Lab
40278	Lindsay	Roy	Lab
40622	Chris	Ruane	Lab
40304	Amber	Rudd	Con
40365	Joan	Ruddock	Lab
40136	David	Ruffley	Con
40180	Bob	Russell	LDem
40381	David	Rutley	Con
40611	Adrian	Sanders	LDem
40556	Laura	Sandys	Con
40271	Anas	Sarwar	Lab
40693	Andy	Sawford	Lab
40328	Lee	Scott	Con
40480	Alison	Seabeck	Lab
40557	Andrew	Selous	Con
40586	Jim	Shannon	DUP
40643	Grant	Shapps	Con
40493	Alok	Sharma	Con
40221	Virendra	Sharma	Lab
40325	Barry	Sheerman	Lab
40245	Alec	Shelbrooke	Con
40040	Richard	Shepherd	Con
40473	Jim	Sheridan	Lab
40380	Gavin	Shuker	Lab
40103	Mark	Simmonds	Con
40620	David	Simpson	DUP
40126	Keith	Simpson	Con
40110	Marsha	Singh	Lab
40347	Chris	Skidmore	Con
40098	Dennis	Skinner	Lab
40295	Andy	Slaughter	Lab
40471	Andrew	Smith	Lab
40476	Angela	Smith	Lab
40458	Chloe	Smith	Con
40188	Henry	Smith	Con
40534	Julian	Smith	Con
40094	Nick	Smith	Lab
40482	Owen	Smith	Lab
40645	Robert	Smith	LDem
40397	Nicholas	Soames	Con
40130	Anna	Soubry	Con
40359	Peter	Soulsby	Lab
40632	John	Spellar	Lab
40391	Caroline	Spelman	Con
40530	Mark	Spencer	Con
40609	John	Stanley	Con
40475	Andrew	Stephenson	Con
40149	John	Stevenson	Con
